,country_id,year,gdp,population,co2,coal_co2,flaring_co2,gas_co2,methane,nitrous_oxide,oil_co2,sta
0,0,1990,464136601600.0,17048002.0,278.154,141.88,7.272,34.455,141.07,80.09,88.842,0.38
1,0,1991,461003816960.0,17271092.0,279.529,146.083,7.001,32.786,140.91,79.09,88.246,0.42
2,0,1992,477843226624.0,17462500.0,284.525,150.051,7.304,33.97,138.9,78.2,87.917,0.03
3,0,1993,500840595456.0,17631514.0,288.871,150.099,7.137,35.67,137.46,77.92,90.387,0.23
4,0,1994,527346171904.0,17805506.0,293.697,151.376,6.88,37.032,138.45,77.71,91.924,0.05
5,0,1995,549172871168.0,18003002.0,305.003,155.719,7.061,39.831,137.05,77.5,96.127,0.1
6,0,1996,574551425024.0,18211850.0,311.886,160.375,6.761,39.765,131.56,71.87,98.697,0.38
7,0,1997,600621056000.0,18410254.0,320.283,167.67,6.687,41.074,134.08,71.78,98.388,0.17
8,0,1998,634305052672.0,18601666.0,334.076,177.596,6.902,43.488,136.0,75.55,99.146,0.77
9,0,1999,664206835712.0,18800892.0,343.489,183.215,7.165,45.549,152.62,93.1,100.399,0.23
10,0,2000,691886620672.0,19017968.0,349.635,185.781,7.953,46.594,158.25,99.5,102.337,-0.11
11,0,2001,713625763840.0,19248146.0,357.132,190.067,8.172,49.311,167.17,109.86,102.583,0.0
12,0,2002,746683498496.0,19475842.0,361.541,191.131,8.007,50.573,161.55,103.77,104.516,0.57
13,0,2003,773868617728.0,19699004.0,369.28,195.37,7.158,49.701,123.59,65.19,109.571,0.57
14,0,2004,809419735040.0,19925060.0,382.821,202.21,6.858,52.518,140.73,85.42,113.766,0.37
15,0,2005,840554577920.0,20171732.0,386.154,200.7,6.914,54.477,121.4,62.57,116.508,0.91
16,0,2006,868838998016.0,20467032.0,392.384,204.385,7.046,55.811,142.45,84.75,117.4,0.36
17,0,2007,913875861504.0,20830832.0,399.625,203.543,7.504,61.049,137.7,77.96,119.474,0.55
18,0,2008,942108901376.0,21247876.0,404.233,204.671,7.483,61.787,120.7,61.63,122.328,0.28
19,0,2009,964937515008.0,21660898.0,407.065,206.05,7.966,63.114,125.88,66.88,122.367,0.71
20,0,2010,994067742720.0,22019166.0,405.103,200.536,8.19,64.264,115.16,54.38,124.557,0.21
21,0,2011,1026035417088.0,22357032.0,403.829,192.125,7.874,66.48,164.56,107.71,129.808,-0.14
